START DATE,END DATE,START TIME,END TIME,SUBJECT
2023/08/17,2023/08/17,10:15,11:35,Block B
2023/08/21,2023/08/21,8:30,9:55,Block B
2023/08/23,2023/08/23,14:10,15:30,Block B
2023/08/27,2023/08/27,12:45,14:05,Block B
2023/08/29,2023/08/29,10:05,11:25,Block B
2023/08/31,2023/08/31,8:30,9:55,Block B
2023/09/04,2023/09/04,14:10,15:30,Block B
2023/09/06,2023/09/06,12:45,14:05,Block B
2023/09/10,2023/09/10,10:15,11:35,Block B
2023/09/12,2023/09/12,8:30,9:50,Block B
2023/09/14,2023/09/14,14:10,15:30,Block B
2023/09/18,2023/09/18,12:45,14:05,Block B
2023/09/20,2023/09/20,10:15,11:35,Block B
2023/09/24,2023/09/24,8:30,9:55,Block B
2023/09/26,2023/09/26,13:25,14:45,Block B
2023/09/28,2023/09/28,12:45,14:05,Block B
2023/10/02,2023/10/02,10:15,11:35,Block B
2023/10/04,2023/10/04,8:30,9:55,Block B
2023/10/08,2023/10/08,14:10,15:30,Block B
2023/10/10,2023/10/10,11:30,12:50,Block B
2023/10/12,2023/10/12,10:15,11:35,Block B
2023/10/22,2023/10/22,8:30,9:55,Block B
2023/10/24,2023/10/24,13:25,14:45,Block B
2023/10/26,2023/10/26,12:45,14:05,Block B
2023/10/30,2023/10/30,10:15,11:35,Block B
2023/11/01,2023/11/01,8:30,9:55,Block B
2023/11/05,2023/11/05,14:10,15:30,Block B
2023/11/07,2023/11/07,11:30,12:50,Block B
2023/11/09,2023/11/09,10:15,11:35,Block B
2023/11/15,2023/11/15,8:30,9:55,Block B
2023/11/19,2023/11/19,14:10,15:30,Block B
2023/11/21,2023/11/21,11:30,12:50,Block B
2023/11/26,2023/11/26,10:15,11:35,Block B
2023/11/28,2023/11/28,8:30,9:50,Block B
2023/11/30,2023/11/30,14:10,15:30,Block B
2023/12/04,2023/12/04,12:45,14:05,Block B
2023/12/06,2023/12/06,10:15,11:35,Block B
2023/12/10,2023/12/10,8:30,9:55,Block B
2023/12/12,2023/12/12,13:25,14:45,Block B
2023/12/14,2023/12/14,12:45,14:05,Block B
2023/12/24,2023/12/24,10:15,11:35,Block B
2024/01/07,2024/01/07,8:30,9:55,Block B
2024/01/09,2024/01/09,13:25,14:45,Block B
2024/01/11,2024/01/11,12:45,14:05,Block B
2024/01/15,2024/01/15,10:15,11:35,Block B
2024/01/17,2024/01/17,8:30,9:55,Block B
2024/01/21,2024/01/21,14:10,15:30,Block B
2024/01/23,2024/01/23,11:30,12:50,Block B
2024/01/25,2024/01/25,10:15,11:35,Block B
2024/01/29,2024/01/29,8:30,9:55,Block B
2024/01/31,2024/01/31,14:10,15:30,Block B
2024/02/04,2024/02/04,12:45,14:05,Block B
2024/02/06,2024/02/06,10:05,11:25,Block B
2024/02/08,2024/02/08,8:30,9:55,Block B
2024/02/12,2024/02/12,14:10,15:30,Block B
2024/02/14,2024/02/14,12:45,14:05,Block B
2024/02/18,2024/02/18,10:15,11:35,Block B
2024/02/26,2024/02/26,8:30,9:55,Block B
2024/02/28,2024/02/28,14:10,15:30,Block B
2024/03/03,2024/03/03,12:45,14:05,Block B
2024/03/05,2024/03/05,10:05,11:25,Block B
2024/03/07,2024/03/07,8:30,9:55,Block B
2024/03/11,2024/03/11,14:10,15:30,Block B
2024/03/13,2024/03/13,12:45,14:05,Block B
2024/03/17,2024/03/17,10:15,11:35,Block B
2024/03/19,2024/03/19,8:30,9:50,Block B
2024/03/21,2024/03/21,14:10,15:30,Block B
2024/03/25,2024/03/25,12:45,14:05,Block B
2024/03/27,2024/03/27,10:15,11:35,Block B
2024/03/31,2024/03/31,8:30,9:55,Block B
2024/04/08,2024/04/08,14:10,15:30,Block B
2024/04/10,2024/04/10,12:45,14:05,Block B
2024/04/14,2024/04/14,10:15,11:35,Block B
2024/04/16,2024/04/16,8:30,9:50,Block B
2024/04/18,2024/04/18,14:10,15:30,Block B
2024/04/22,2024/04/22,12:45,14:05,Block B
2024/04/24,2024/04/24,10:15,11:35,Block B
2024/04/28,2024/04/28,8:30,9:55,Block B
2024/04/30,2024/04/30,13:25,14:45,Block B
2024/05/02,2024/05/02,12:45,14:05,Block B
2024/05/06,2024/05/06,10:15,11:35,Block B
2024/05/08,2024/05/08,8:30,9:55,Block B
2024/05/13,2024/05/13,14:10,15:30,Block B
2024/05/15,2024/05/15,12:45,14:05,Block B
2024/05/19,2024/05/19,10:15,11:35,Block B
2024/05/22,2024/05/22,8:30,9:55,Block B
2024/05/26,2024/05/26,14:10,15:30,Block B
2024/05/28,2024/05/28,11:30,12:50,Block B
2024/05/30,2024/05/30,10:15,11:35,Block B
2024/06/03,2024/06/03,8:30,9:55,Block B
2024/06/05,2024/06/05,14:10,15:30,Block B
2024/06/09,2024/06/09,12:45,14:05,Block B
2024/06/11,2024/06/11,10:05,11:25,Block B
2024/06/13,2024/06/13,8:30,9:55,Block B
